enabled,symbol,datasource,datatype,date_from,date_to,mt5_export_name,notes
1,EURUSD,dukascopy,TICK,2016.01.01,,MB_EURUSD_DUKA,core_fx
1,GBPUSD,dukascopy,TICK,2016.01.01,,MB_GBPUSD_DUKA,core_fx
1,USDJPY,dukascopy,TICK,2016.01.01,,MB_USDJPY_DUKA,core_fx
1,USDCHF,dukascopy,TICK,2016.01.01,,MB_USDCHF_DUKA,cost_focus
1,USDCAD,dukascopy,TICK,2016.01.01,,MB_USDCAD_DUKA,cost_focus
1,XAUUSD,dukascopy,TICK,2018.01.01,,MB_GOLD_DUKA,active_runtime
1,XAGUSD,dukascopy,TICK,2018.01.01,,MB_SILVER_DUKA,active_runtime
1,USA500IDXUSD,dukascopy,TICK,2018.01.01,,MB_US500_DUKA,active_runtime
1,DEUIDXEUR,dukascopy,TICK,2018.01.01,,MB_DE30_DUKA,active_runtime
1,COPPERCMDUSD,dukascopy,TICK,2018.01.01,,MB_COPPER_DUKA,problem_symbol
