enabled,symbol,datasource,datatype,date_from,date_to,mt5_export_name,notes
1,EURUSD,dukascopy,TICK,2016.01.01,,MB_EURUSD_DUKA,fx_full
1,AUDUSD,dukascopy,TICK,2016.01.01,,MB_AUDUSD_DUKA,fx_full
1,GBPUSD,dukascopy,TICK,2016.01.01,,MB_GBPUSD_DUKA,fx_full
1,USDJPY,dukascopy,TICK,2016.01.01,,MB_USDJPY_DUKA,fx_full
1,USDCAD,dukascopy,TICK,2016.01.01,,MB_USDCAD_DUKA,fx_full
1,USDCHF,dukascopy,TICK,2016.01.01,,MB_USDCHF_DUKA,fx_full
1,NZDUSD,dukascopy,TICK,2016.01.01,,MB_NZDUSD_DUKA,fx_full
1,EURJPY,dukascopy,TICK,2016.01.01,,MB_EURJPY_DUKA,fx_full
1,GBPJPY,dukascopy,TICK,2016.01.01,,MB_GBPJPY_DUKA,fx_full
1,EURAUD,dukascopy,TICK,2016.01.01,,MB_EURAUD_DUKA,fx_full
1,GBPAUD,dukascopy,TICK,2016.01.01,,MB_GBPAUD_DUKA,fx_full
